07-12 10:13:19.940 |-INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor:39 - Post-processing PropertySource instances
07-12 10:13:19.976 |-INFO  c.u.j.EncryptablePropertySourceConverter:56 - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
07-12 10:13:19.977 |-INFO  c.u.j.EncryptablePropertySourceConverter:56 - Converting PropertySource bootstrap [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
07-12 10:13:19.978 |-INFO  c.u.j.EncryptablePropertySourceConverter:56 - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
07-12 10:13:19.978 |-INFO  c.u.j.EncryptablePropertySourceConverter:56 - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper
07-12 10:13:19.978 |-INFO  c.u.j.EncryptablePropertySourceConverter:56 - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
07-12 10:13:19.979 |-INFO  c.u.j.EncryptablePropertySourceConverter:56 - Converting PropertySource springCloudClientHostInfo [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
07-12 10:13:19.979 |-INFO  c.u.j.EncryptablePropertySourceConverter:56 - Converting PropertySource applicationConfig: [classpath:/bootstrap-dev.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
07-12 10:13:19.979 |-INFO  c.u.j.EncryptablePropertySourceConverter:56 - Converting PropertySource applicationConfig: [classpath:/bootstrap.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
07-12 10:13:20.050 |-INFO  c.u.j.f.DefaultLazyPropertyFilter:31 - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
07-12 10:13:20.274 |-INFO  c.u.j.r.DefaultLazyPropertyResolver:35 - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
07-12 10:13:20.277 |-INFO  c.u.j.d.DefaultLazyPropertyDetector:35 - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
07-12 10:13:20.284 |-INFO  c.z.l.LargeScrrenApplication:655 - The following profiles are active: dev
07-12 10:13:22.021 |-WARN  o.s.boot.actuate.endpoint.EndpointId:155 - Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
07-12 10:13:22.565 |-INFO  o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
07-12 10:13:22.569 |-INFO  o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
07-12 10:13:22.655 |-INFO  o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 58ms. Found 0 Redis repository interfaces.
07-12 10:13:22.791 |-WARN  o.s.boot.actuate.endpoint.EndpointId:155 - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
07-12 10:13:23.018 |-WARN  o.m.s.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'reportDashboardMapper' and 'com.zods.largescreen.modules.dashboard.dao.ReportDashboardMapper' mapperInterface. Bean already defined with the same name!
